loading,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,DH5_31_1,DH5_31_1_1in10,DH5_31_2,DH5_31_2_1in10
G,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,DH5_31_1,DH5_31_1_1in10,DH5_31_2,DH5_31_2_1in10
H,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,DH5_31_1,DH5_31_1_1in10,DH5_31_2,DH5_31_2_1in10
,,,,,,,,,,,,
type,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,lysate,lysate,lysate,lysate
G,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,lysate,lysate,lysate,lysate
H,BSA,BSA,BSA,BSA,BSA,BSA,BSA,buffer,lysate,lysate,lysate,lysate
,,,,,,,,,,,,
conc,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,2,1,0.5,0.25,0.125,0.0625,0,,,,,
G,2,1,0.5,0.25,0.125,0.0625,0,,,,,
H,2,1,0.5,0.25,0.125,0.0625,0,,,,,
,,,,,,,,,,,,
A562,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0474,0.048,0.0477,0.0475,0.0464,0.047,0.0469,0.0479,0.0483,0.0481,0.0483,0.0481
B,0.0465,0.0473,0.0472,0.047,0.047,0.0472,0.047,0.047,0.0524,0.0466,0.0482,0.0498
C,0.0497,0.0476,0.0469,0.047,0.0468,0.0468,0.0477,0.0472,0.0472,0.047,0.047,0.0472
D,0.0495,0.0468,0.0468,0.0454,0.0464,0.0475,0.0468,0.0465,0.046,0.0462,0.047,0.0468
E,0.0451,0.0472,0.0466,0.0469,0.0481,0.0482,0.0477,0.0477,0.0453,0.0464,0.0468,0.0472
F,0.6883,0.3498,0.2509,0.162,0.1233,0.103,0.0837,0.1032,0.9863,0.242,1.0096,0.2428
G,0.7225,0.3741,0.2443,0.1699,0.1227,0.1021,0.0835,0.1064,1.0548,0.2577,1.0287,0.2481
H,0.7594,0.3782,0.2681,0.1784,0.1275,0.1068,0.0826,0.1034,1.0584,0.2579,1.0974,0.2556
,,,,,,,,,,,,
dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,1,10,1,10
G,,,,,,,,,1,10,1,10
H,,,,,,,,,1,10,1,10
